smiles,measured
CCCCCCCCCCCCCCCCCCCCCC(=O)NC\1=N\C(=O)N(\C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,0
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,0
CC(=O)N1CCN(CC1)CC2=C3CN(CC4=CC=CC=C4)C(=O)CC[N]3N=N2,0
CC1(N(CC2=CC=CC=C2)C(=O)OC13CCN(CC3)C(=O)C4=CN=CC=N4)C5=CC=CN=C5,0
O=C1\N=C/N(CC2CC2)C3=CC=C(N=C13)C4=CC=C5OCOC5=C4,0
Cl.Cl.OCCN1CCN(CC1)CCCN3c4ccccc4C=Cc2ccccc23,0
N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)/C(O)=O)/Cl)C3=CC=CC=C3,0
CC(C)COc1cc2ncc(c(O)c2cc1OCC(C)C)C(=O)OCC,0
O=S(C)(=O)OCCCCOS(C)(=O)=O,0
Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)[C@@H](O)[C@H](O)C[C@@H]12)c4cc3,1
CC1(N(CC2=CC=CC=C2)C(=O)OC13CCN(CC3)C(=O)C4=CC=CC(=C4)O)C5=CC=CC=C5,0
CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)CN2C3=NC(=O)NC(=O)C3=Nc1cc(C)c(C)cc12,0
Fc1ccc(cc1)C(=O)CCCN2CCC(C)CC2,0
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N[2H])CC4=CC=CC=C4)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC6=CC=C(O)C=C6)C(=O)N[C@@H](CC(C)C)C(O)=O,0
CN1CC/C(CC1)=C3\c4ccccc4CC(=O)c2sccc23,0
N[C@@H](CO[P](O)(O)=O)C(O)=O,1
CC(=O)N[C@@H](CS)C(O)=O,0
O=C(O)c1ccc(cc1)C(=C)c2cc3c(cc2C)C(C)(C)CCC3(C)C,0
COC1=CC=CC=C1OCC2=NC3=C([N]2CC4=CC=CC=C4)C(=O)N(CCN3)CC5CC5,0
CN1CCN(CC1)C2=CC=C3\N=C/N(C4=CC=CN=C4)C(=O)C3=N2,0
O=C(NCCN(CC)CC)c1ccc(Cl)cc1OCC=C,0
