smiles,LogS
Cc1occc1C(=O)Nc2ccccc2,-0.119253949
CC(C)=CCCC(C)=CC(=O),0.472486952
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-2.3001054969999997
c1ccsc1,0.820850547
c2ccc1scnc1c2 ,0.7397247779999999
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-2.037639774
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-0.9448279490000001
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-1.5461130580000002
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-0.6537296020000001
Clc1ccc2ccccc2c1,-0.520110689
CCC1(C(=O)NCNC1=O)c2ccccc2,0.195704918
CC(C)Cl,0.782673715
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-0.281505487
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-2.090132919
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-0.7367642120000001
CCOP(=S)(OCC)SCSCC,-0.5057943770000001
CCOc1ccc(NC(=O)C)cc1,0.334095935
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-1.1548005270000001
Cn1c(=O)n(C)c2nc[nH]c2c1=O,0.7922179229999999
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-1.837211405
CCc1ccc(CC)cc1,-0.333998631
CCOP(=S)(OCC)SCSC(C)(C)C,-0.813595087
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-0.837455608
Cc1cccc2c1Cc3ccccc32,-1.035497925
N(c1ccccc1)c2ccccc2,-0.216604872
CN(C)C(=O)SCCCCOc1ccccc1,-0.41846487299999996
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-0.524882793
c1c(Cl)cccc1c2ccccc2,-0.873246388
O=C2NC(=O)C1(CCC1)C(=O)N2,0.665757166
CC(C)C1CCC(C)CC1O ,0.248198062
CC(C)OC=O,1.15489783
CC(=O)Nc1ccc(Br)cc1,-0.015699292
c1ccccc1n2ncc(N)c(Br)c2(=O),-0.036696549
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-0.815981139
c2c(C)cc1nc(C)ccc1c2 ,0.5297522
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,0.41999380799999997
c1ccc2c(c1)ccc3c4ccccc4ccc23,-2.3893438419999997
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,0.251538535
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-2.648469092
CC(C)CCC(C)(C)C,-0.954372157
Cc1ccc(C)c2ccccc12,-0.520110689
Cc1cc2c3ccccc3ccc2c4ccccc14,-1.679731971
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-2.910934814
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-0.300593903
Nc1ccc(O)cc1,1.0737720609999999
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,0.114579149
CCC(Br)(CC)C(=O)NC(N)=O,0.176616501
Clc1ccccc1c2ccccc2Cl ,-1.0593584459999998
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-1.150028422
CC1(C)C2CCC1(C)C(=O)C2,0.520207992
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,0.325028937
CC(C)CCOC(=O)C,0.539296409
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-1.353320055
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-1.412494145
COP(=S)(OC)SCC(=O)N(C)C=O,0.503505628
Cc1ncnc2nccnc12,1.2331603359999999
Cc1ccc(C)cc1,0.133667565
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.295821799
CCCN(=O)=O,1.0737720609999999
CC(C)C1CCC(C)CC1=O,0.334095935
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-1.102307382
O=N(=O)c1c(Cl)c(Cl)ccc1,-0.20515182199999998
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-0.19560761399999999
c1ccc2c(c1)c3cccc4cccc2c34,-1.407722041
Cc1cc(C)c2ccccc2c1,-0.591692249
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-0.486705961
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-1.235926295
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-2.004235046
C1OC1c2ccccc2 ,0.6920037379999999
CC(C)c1ccccc1,-0.10493763699999999
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-0.19083551
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-1.13571211
C1OC(O)C(O)C(O)C1O,1.6416524419999998
CCc1cccc2ccccc12,-0.5344270010000001
Oc1ccccc1N(=O)=O,0.625194281
Cc1c[nH]c(=O)[nH]c1=O ,0.7368615159999999
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,0.868571588
Oc1c(I)cc(C#N)cc1I,-0.267189175
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-0.787348515
c1ccccc1O,1.455540385
Nc3ccc2cc1ccccc1cc2c3 ,-1.011637405
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,0.251538535
c1ccc2cnccc2c1,0.763585299
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-0.659456127
Clc1ccccc1c2ccccc2,-0.7109948509999999
CC(C)C(C)C(C)C,-0.835069556
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-1.240698399
