smiles,LogS,COMPOUND
CC(NC1=NN=C(S1)[S](N)(=O)=O)=O,-2.38,Acetazolamide
C(C)(=O)OC1=CC=CC=C1C(=O)O,-1.67,Acetylsalicylic Acid
C=CCOc1ccc(cc1Cl)CC(=O)O,-4.4,Alclofenac
O[C@@H]2CC[C@@H](NCc1cc(Br)cc(Br)c1N)CC2,-3.87,Ambroxol
O=C1Nc2c(ccc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)c2)CC1,-6.64,Aripiprazole
O=C1c2ccccc2C(=O)C(O)=C1C1CCC(CC1)c1ccc([Cl])cc1,-6.07,Atovaquone
CCNc1nc(nc(n1)Cl)NC(C)C,-3.69,Atrazine
C1=CC(=CC=C1C(CC(O)=O)CN)Cl,-1.78,Baclofen
CCC(C)C1(C(=O)NC(=O)NC1=O)CC,-2.22,"Barbital,Buta-"
C1=C(Cl)C(=CC2=C1NC(=N[S]2(=O)=O)CSCC3=CC=CC=C3)[S](N)(=O)=O,-4.84,Benzthiazide
O=C1Nc2c(C(c3ncccc3)=NC1)cc(Br)cc2,-3.39,Bromazepam
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,-6.79,Candesartan Cilexetil
C1=CC=CC3=C1N(C2=C(C=CC=C2)C=C3)C(N)=O,-3.22,Carbamazepine
C1=CC=CC2=C1[NH]C3=CC=CC=C23,-5.19,Carbazole
C1=CC=CC2=C1[NH]C(=N2)NC(OC)=O,-4.56,Carbendazim
Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,-3.27,Cefmenoxime
C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,-1.68,Cefprozil
C2=C([N](C1=CC=C([S](N)(=O)=O)C=C1)N=C2C(F)(F)F)C3=CC=C(C=C3)C,-5.89,Celecoxib
