smiles,LogS
CCCc1cc(C)ccc1OCC(CO)O,-3.342229102
C[N+](CCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.494696675
COC1(CCC(CC1)NCCCC(=O)c1ccc(cc1)F)c1ccc(cc1)C.Cl,-5.72393991
CCN(CCOC(=O)C1c2ccccc2c2c1cccc2)CC.Cl,-5.35993218
CN1CCC2=C(C1CCc1ccccc1)CCCC2,-4.659817587
CC(Cn1cnc2c1c(=O)n(C)c(=O)n2C)O,0.622972578
O=C(c1ccccc1)C=NN1CCCC1,-2.057930295
CCOc1ccc(cc1OC)Cc1cnc(nc1N)N,-2.345543176
OC(=O)c1cc2ccccc2c(c1[O-])Cc1c([O-])c(cc2c1cccc2)C(=O)O.CC1CCN(CC1)C=CC=C/C=[N+]/1\CCC(CC1)C.CC1CCN(CC1)C=CC=C/C=[N+]/1\CCC(CC1)C,-1.960412021
O=C(/C=C/c1ccccc1)OCCCN1CCCCC1C,-3.981370073
O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)OCCSCCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,-12.15015633
OCC(CF)O,0.829253341
CC1(C)NCCS1,-0.225731888
COc1ccc2c(c1)[nH]c1c2ccnc1C.Cl,-4.258972698
OC(=O)CCCCC(=O)O,-0.81999999
Clc1ccccc1C[NH2+]C(CCCCC([NH2+]Cc1ccccc1Cl)C)C.[Cl-].[Cl-],-6.956026899
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,-3.623049412
ClCC[N+](CCCl)(C)[O-],-1.594178042
OS(=O)(=O)SCCNCCCCCCCCCCCc1ccccc1,-5.392480732
CCCNCC(COc1ccccc1C(=O)CCc1ccccc1)O,-3.563539839
Clc1ccc2c(c1)c(C)cc(n2)OCCCCCNCCSS(=O)(=O)O,-4.240146178
Clc1ccc(cc1S(=O)(=O)N)S(=O)(=O)N(CC1(C)CCCO1)C,-4.357488151
C#C[C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2c1ccc(c2)O,-4.3000002
CC(=O)Nc1ccc(cc1)[N+](=O)[O-],-2.6900001
BrC1CCCCC1,-2.3
CCC(=O)Oc1ccc(cc1)OCC(CN1CCN(CC1)c1ccccc1)O,-3.155116966
OCC(COC(=O)c1ccccc1Nc1ccnc2c1ccc(c2)Cl)O,-0.969421725
Cn1c(=O)n(C)c2c(c1=O)n(CCOS(=O)(=O)O)cn2.OCc1c(CO)cnc(c1O)C,-1.326003014
CC(C(C)(C)C)OP(=O)(F)C,-0.938269483
ClC(C(Cl)(Cl)Cl)Cl,-2.5999999
c1ccc(cc1)CC1C[N+]2(COC[N+]34CCC(CC3)C(C4)Cc3ccccc3)CCC1CC2.[Br-].[Br-],-4.277671518
O=C1C2C3CCC(C2C(=O)N1c1ccccc1C)O3,-0.977451928
OC(=O)[C@@H](Cc1ccc(cc1)O)N,-2.5699999
CC(c1cccc(c1O)C)C,-1.273640633
CCC(OC(=O)c1ccccc1)(CN(C)C)CN(C)C.Cl,-2.063540311
CC(=O)C[C@H](c1c(=O)oc2c(c1O)cccc2)c1ccc(cc1)Cl,-5.8400002
