smiles,measured
CC(=O)OC1=C(Cl)C=C(C=C1Cl)/C=C/2C(=O)NC3=CC=CC=C23,17.75358
COC1=CC=CC(=C1)C2=C[N](C3CCCC3)C4=NC=NC(=C24)N,21.52949
FC1=CC(=C(C=C1)C(=O)NCCC2=CC=CS2)Cl,27.6983
FC1=CC(=C(C=C1)C(=O)NCC2=CC=CS2)Cl,2.42373
FC1=CC=C(C(=C1)Cl)C(=O)NC2=CC=C3C=C[NH]C3=C2,8.49143
CSC1=CC(=CC=C1)NC(=O)C2=CC=C(F)C=C2Cl,8.73326
FC1=CC=C(C(=C1)Cl)C(=O)NC2=CC=C3C=N[NH]C3=C2,5.07781
COC1=CC=CC=C1CNC(=O)C2=C(Cl)C=C(F)C=C2,32.6335
CCOC1=C(C=CC=C1)C(=O)NC2=C(C=CC=C2)C(=O)NC3=CC=CC(=C3)[S+]([O-])(=O)C(F)(F)F,1.56643
CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=C(Cl)C=C4NC(=O)CC4=C3,5.3147
CN(C)C1=CC=C(C=C1)C2=C[N](C3CCCC3)C4=NC=NC(=C24)N,8.14095
CC(=O)OC1=C(Cl)C=C(C=C1Cl)/C=C/2C(=O)NC3=CC=CC=C23,27.36529
COC(=O)C1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3,7.60731
CC[N]1C=C(C2=CC=CC=C2)C3=C(N=CN=C13)N(C)C,25.74185
CC(=O)C1=CC=CC(=C1)C2=CC=CC(=N2)C3=C[N](CCN4CCOCC4)N=C3,47.23739
COC(=O)CC1=CC=CC(=C1)C2=CC=CC(=C2)C3=N[N](CCN4CCOCC4)C=C3,23.80515
CN(C)C1=NC(=C(C)C(=N1)C2=CC=CC(=C2)C3=N[N](CCN4CCOCC4)C=C3)C,34.19221
CC(C)OC1=C(C=CC=C1)C(=O)NC2=C(C=CC=C2)C(=O)NC3=CC=CC(=C3)[S+]([O-])(=O)C(F)(F)F,1.08217
CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CN=CC=C3)C4=C(C=CC=C4)C(F)F,1.06915
NCC(=O)NC1=CC(=CC(=C1)C/2=N/N/3C(=O)\C=C(/N=C3S2)N4CCNCC4)Br,16.83424
NCC(=O)NC1=CC(=CC(=C1)C/2=N/N/3C(=O)\C=C(/N=C3S2)N4CCNCC4)C=C,10.91639
CC(=O)C1=CC=C(C=C1)N2CCN(CC2)[S+]([O-])(=O)C3=CC=C4NC(=O)CC4=C3,2.85032
FC1=CC=C(C(=O)NC/2=N/C3=C(C=CS3)C(=O)S2)C(=C1)Cl,3.43252
FC1=CC(=CC=C1)C(=O)N/N=C/C2=CC=C(S2)SC3=NC=CC=N3,1.42939
CCOC1=C(OCC)C=C(C=C1)C(C)CNC(=O)C2=CC3=C([NH]2)C=CS3,7.2713
O=C(N1CCN(CC1)C2=NC=CS2)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,48.61678
OC1=CC=C(C=C1)\C=C2/OC3=CC=CC=C3C2=O,1.70296
CC(=O)NC1=NC=C(S1)[S+]([O-])(=O)N2CCOCC2,26.55346
O=C(N1CCN(CC1)C2=NC=CC3=C2SC=C3)C4=CN=C(N5CCCCC5)C6=CC=CC=C46,2.82255
FC(F)(F)C1=NN=C(S1)N2CCN(CC2)C(=O)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,23.47747
[O-][S+](=O)(NC1=NC=CS1)C2=CC=C(NCC3=CC=CC=C3)C=C2,31.92311
COC1=CC=CC(=C1OC)CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=NC=CS3,3.60239
COC1=CC=CC(=C1)CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=NC=CS3,27.21983
CC(NC1=CC=C(C=C1)[S+]([O-])(=O)NC2=NC=CS2)C3=CC=CC=C3,4.76561
CC1=CC=C(CN2CCN(CC2)C(=O)C3=CN=C(N4CCCCC4)C5=CC=CC=C35)C=C1,11.30675
CC1=C(C=CC=C1)C(N(C(=O)C[N]2C=NC3=CC=CC=C23)C4=CC=CC(=C4)F)C(=O)NC5CCCC5,12.16448
CC1=CC=C(C=C1)[S+]([O-])(=O)NC2=NN=C(NC(=O)NC3=CC=C(Cl)C=C3Cl)O2,5.64085
CC(=O)C1=CC=CC(=C1)C2=CC=CC(=C2)C3=N[N](CCO)C=C3,34.10577
C1CN(CCO1)CC[N]2C=CC(=N2)C3=CC(=CC=C3)C4=CC(=CC=C4)C5=N[NH]C=C5,2.75045
CC(=O)C1=CC=CC(=C1)C2=CC=CC(=C2)C3=N[N](CCN4CCNCC4)C=C3,40.18615
CC(=O)C1=CC=CC(=C1)C2=CC=CC(=C2)C3=N[N](CCN4CCOCC4)C=C3,31.93364
ClC1=CC=C(C=C1)C(=O)NC2=NN=C(O2)C3=CC=CS3,6.09064
[O-][S+](=O)(N1CCOCC1)C2=CN=C(NC(=O)C3=CC=CC(=C3)Br)S2,2.93588
CC(C)NC(=O)C1=CC=C2SC3=C(C=CC=C3)\C(=N/C2=C1)C,25.64143
COC1=C(F)C=CC(=C1F)CN2\N=C/C3=C([N](C)C4=C3SC(=C4)[S+](C)[O-])C2=O,2.54934
CC[N]1C=C(C2=CC=C(OC)C=C2)C3=C(N=CN=C13)N(C)C,30.39309
CC1=C(C)C=C(C=C1)[N]2N=C(C)C3=C2N=C(N)C(=C3C4=CC(=C(O)C=C4)O)C#N,1.81375
FC1=CC=CC(=C1)C(=O)N/N=C/C2=CC=C(S2)SC3=NC=CC=C3,2.16903
CC1=CC(=CC(=C1)C2=NN3C(=O)C=C(N=C3S2)N4CCNCC4)NC(=O)CN,1.46447
CC(O)C1=CC(=CC(=C1)NC(=O)CN)C2=NN3C(=O)C=C(N=C3S2)N4CCNCC4,36.12022
CC(=C)C1=CC(=CC(=C1)NC(=O)CN)C2=NN3C(=O)C=C(N=C3S2)N4CCNCC4,35.18633
CC(C)C1=CC(=CC(=C1)NC(=O)CN)C2=NN3C(=O)C=C(N=C3S2)N4CCNCC4,31.39243
CC1=CC=C(C=C1)[S+]([O-])(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,9.42423
O=C(NCC1=CC=CO1)C2=CC=CC=C2NC(=O)C3=CC=CC=C3NC(=O)C4=CC=CO4,4.44618
NCC(=O)NC1=CC=CC(=C1)C/2=N/N/3C(=O)\C=C(/N=C3S2)N4CCNCC4,43.20808
COC1=CC(=CC=C1O)C2=CC=NC3=C2C(=N[N]3C4=CC=C(C=C4)C(F)(F)F)C,28.12964
COC1=CC(=CC=C1O)C2=CC=NC3=C2C(=N[N]3C4=CC=CC(=C4)C(F)(F)F)C,16.46539
CN1C(=O)N(C)C2=CC(=CC=C12)[S+]([O-])(=O)N3CCN(CC3)C4=CC=C(C=C4)C(C)=O,2.60124
CC(=O)C1=CC=C(C=C1)N2CCN(CC2)[S+]([O-])(=O)C3=C(Cl)C=C4NC(=O)CC4=C3,1.16389
CSC1=CC2=C(S1)C\3=C([N]2C)C(=O)N(CC4=NC(=CC=C4)N)\N=C3,6.60264
C[N]1C2=C(SC(=C2)[S+](C)[O-])C\3=C1C(=O)N(CC4=CC=C(F)C(=C4)N)\N=C3,28.13853
C[N]1C2=C(SC(=C2)[S+](C)[O-])C\3=C1C(=O)N(CC4=C(F)C(=CC=C4)N)\N=C3,45.39616
CSC1=CC2=C(S1)C\3=C([N]2C)C(=O)N(CC4=C(F)C=CC(=C4)N)\N=C3,1.78608
COC1=CC=C(C=C1)[N]2C(=C(C(C)=O)C3=CC(=CC=C23)O)C,5.6864
CC1=C(Cl)C=C(N[S+]([O-])(=O)C2=C(F)C=C3NC(=O)CCC3=C2)C=C1,2.06059
[O-][S+](=O)(NC1=CC=C(F)C(=C1)Cl)C2=CC3=C(NC(=O)CC3)C=C2F,13.39419
CC1=CC(=C(C)[N]1C2=CC=C(Cl)C(=C2)Cl)C3=NN=C4CCCCC[N]34,31.56557
CC1=CC(=C(C)[N]1C2=CC=CC(=C2)Cl)C3=NN=C4CCCCC[N]34,36.46661
BrC1=C[NH]C2=NC(=NC2=C1)SCC3=CC=CC=C3C#N,1.09283
CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)OCC)NC(=O)CN3CCCCC3,27.60741
CC1=CC(=CC=C1)[N]2C=NC3=CC(=CC=C23)C(=O)N4CCCCCC4,41.20436
CC1CCCN(C1)C(=O)C2=CC=C3[N](C=NC3=C2)C4=CC=CC(=C4)C,26.44519
[O-][S+](=O)(NCC1=NC2=C([NH]1)N=CC=C2)C3=CC=C(F)C(=C3)Cl,15.26851
FC(F)C1=C(C=CC=C1)C2=NC=C(F)C(=N2)NCC3CCN(CC3)C4=CN=CC=N4,1.48687
O=C(N1CCN(CC1)C2=CC=CC=C2)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,5.616
CC(C)OC1=C(OC(C)C)C=C(CCNC(=O)C2=CC3=C([NH]2)C=CS3)C=C1,2.03769
O=C(N1CCN(CC1)C2=CC=C(C=C2)C#N)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,1.94775
FC1=CC(=C(C=C1)N2CCN(CC2)C(=O)C3=CN=C(N4CCCCC4)C5=CC=CC=C35)F,3.10104
COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,11.67664
CC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CN=C(N4CCCCC4)C5=CC=CC=C35,2.77784
FC1=CC(=CC=C1)C(=O)N/N=C/C2=CC=C(O2)SC3=NC=CC=C3,8.86177
CCCN1CNC/2=C(C1)/C(=O)NC(=S)N2CCC3=CC=CC(=C3Cl)Cl,1.1695
COC1=CC=C(F)C(=C1F)CN2\N=C/C3=C([N](C)C4=C3SC(=C4)[S+](C)[O-])C2=O,16.16088
CNC1=C2C(=NC=N1)[N](C=C2C3=CC=C(OC)C=C3)C4CCCC4,9.77009
NC1=C2C(=C[N](C3CCCC3)C2=NC=N1)C4=CC=C(O)C=C4,20.4798
COC1=C(CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=NC=CS3)C=CC=C1,37.42197
NC1=C2C(=C[N](C3CCCC3)C2=NC=N1)C4=CC=C(F)C=C4,4.22878
CC1=C(C=CC=C1Cl)[N]2N=CC(=C2C3CCN(CC3)C(=O)OC(C)(C)C)C(=O)NC4=C(F)C=C(Br)C=C4,11.29472
COC1=CC=C(C=C1COC2=C(C)C=C(NC(C)=O)C=C2C)C3NC4=C(C=CC=C4)C(=O)N3CC5=CN=CC=C5,1.69405
FC(F)C1=C(C=CC=C1)C2=NC=C(F)C(=N2)NCC3CCN(C3)C4=CN=CC=N4,42.21482
CC(=O)C1=CC=CC(=C1)C2=CC=CC(=C2)C3=C[N](CCN4CCOCC4)C=C3,1.60053
COC1=C(O)C(=CC=C1)CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=CC=CS3,11.57494
CC(C)C1=C(C=CC=C1)C2=NC=C(F)C(=N2)NCC3=CC=C(C=C3)[N]4C=CN=N4,2.13133
CC(=O)C1=CC=C(NC2=CC=CC(=C2)C3=N[N](CCN4CCOCC4)C=C3)C=C1,26.69118
CC(C)C1=C(C=CC=C1)C2=NC=C(F)C(=N2)NCC3CCN(C3)C4=CN=CC=N4,32.07403
COC1=C(O)C(=CC=C1)CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=NC=CC=C3,8.35539
CC(C)C1=C(C=CC=C1)C2=NC=C(C)C(=N2)NCC3=CC=C(C=C3)[N]4C=CN=N4,6.60661
C1CN(CCO1)CC[N]2C=CC(=N2)C3=CC(=CC=C3)C4=CC(=CC=C4)[N]5C=CN=N5,22.87282
COC1=C(O)C(=CC=C1)CNC2=CC=C(C=C2)[S+]([O-])(=O)NC3=CN=CC=C3,3.92756
