Load GaoDataSet from dataset/solub_train.csv ... done (8205 lines, 14.448 seconds) 
>>> Training of the Model >>>
Start at:  Thu May 12 10:42:22 2022
PID:       807037
# of all graphs/labels:      8204
# of training graphs/labels: 6563
# of test graphs/labels:     1641
Learning rate:               1E-03
Batch size:                  64
Maximum epochs:              5
Output frequency:            1
Params filename prefix:      models/solub
Device:                      cuda:0
----------------------------------------------------------------------------------------------------
     Epoch    TrainingLoss        TestLoss         Time(s)   SavePrefix
----------------------------------------------------------------------------------------------------
         0          0.0051          0.0053         33.0704   models/solub-0
         1          0.0019          0.0025         31.2474   models/solub-1
         2          0.0012          0.0020         31.7205   models/solub-2
         3          0.0006          0.0017         31.3036   models/solub-3
         4          0.0006          0.0018         32.1579   models/solub-4
         5          0.0006          0.0018         32.1716   models/solub-5
----------------------------------------------------------------------------------------------------
Final loss: 0.0006
Total training time: 191.6715 seconds
>>> Training of the Model Accomplished! >>>
End at:  Thu May 12 10:45:33 2022
    0     -0.02673922     -0.03717401
    1      0.03329098     -0.05588430
    2     -0.03713750     -0.02340806
    3     -0.02041521     -0.02388848
    4     -0.03787901     -0.05210289
    5     -0.00964550     -0.02911268
    6     -0.01326459     -0.02994802
    7     -0.00696915     -0.04845083
    8     -0.02675472     -0.02693610
    9     -0.03789872     -0.03719726
   10     -0.03665190     -0.01960183
   11     -0.02528304     -0.02082937
   12     -0.00598462     -0.02614367
   13     -0.01126543     -0.02334153
   14     -0.03513577     -0.03763786
   15     -0.01580902     -0.02461376
   16     -0.03760791     -0.04589459
   17     -0.03691012     -0.03480167
   18     -0.00655877     -0.02693492
   19     -0.00653613     -0.05132564
   20     -0.03776465     -0.03620044
   21     -0.03598907     -0.02744110
   22     -0.02756348     -0.04345202
   23     -0.02854415     -0.02710648
   24     -0.01474629     -0.03221402
   25     -0.01866993     -0.03419375
   26     -0.01384910     -0.02166332
   27     -0.01447594     -0.02267707
   28     -0.01579116     -0.01759179
   29     -0.00881591     -0.05890740
   30      0.01073977     -0.02311368
   31      0.01285895     -0.03003593
   32     -0.03516818     -0.01463913
   33     -0.00090009     -0.02786734
   34     -0.03418533     -0.02148307
   35     -0.03004288     -0.01837939
   36     -0.03025903     -0.01785826
   37     -0.03644434     -0.02215955
   38      0.00453180     -0.02899851
   39     -0.01552705     -0.02765866
   40      0.01722139     -0.04043350
   41     -0.00843862     -0.04812214
   42     -0.02072728     -0.02926156
   43     -0.03005230     -0.01853778
   44     -0.02329253     -0.02040957
   45     -0.03791333     -0.01754006
   46     -0.00804223     -0.04072410
   47     -0.03710689     -0.02601748
   48     -0.00681594     -0.02285098
   49     -0.01046309     -0.01606486
   50     -0.01421682     -0.01658785
   51     -0.02115300     -0.02164129
   52     -0.03471133     -0.02853063
   53     -0.01996098     -0.03171095
   54     -0.01855301     -0.01364108
   55     -0.03050731     -0.04228859
   56     -0.03668221     -0.02190544
   57     -0.03690181     -0.05936915
   58     -0.03358340     -0.03403223
   59     -0.02033397     -0.04372600
   60     -0.00632413     -0.02758957
   61     -0.03028714     -0.02632931
   62      0.02829309     -0.05254349
   63     -0.03331375     -0.02991165
   64     -0.03309167     -0.02278411
   65     -0.03236097     -0.01986662
   66     -0.02956593     -0.04746028
   67      0.00443469     -0.02459023
   68     -0.03663220     -0.01913275
   69     -0.02286494     -0.03478226
   70     -0.00647631     -0.02958932
   71     -0.01840285     -0.02251947
   72     -0.02412537     -0.02490212
   73     -0.03339819     -0.00814182
   74     -0.02862831     -0.01772975
   75     -0.03191925     -0.02297255
   76     -0.03618007     -0.03533162
   77     -0.01574119     -0.03068656
   78     -0.03731149     -0.04874171
   79     -0.03682844     -0.03620149
   80     -0.03297379     -0.02189131
   81     -0.02893899     -0.03121608
   82     -0.03703201     -0.01784140
   83     -0.00925694     -0.01719169
   84      0.00823806     -0.03052157
   85     -0.03683501     -0.01703013
   86     -0.02870634     -0.01099634
   87     -0.01395819     -0.01783795
   88     -0.03765130     -0.12596373
   89     -0.03749912     -0.02055758
   90     -0.00364016     -0.08470476
   91     -0.03246803     -0.02835095
   92      0.01705119     -0.05226383
   93      0.00598797     -0.02845963
   94      0.00131777     -0.02588405
   95     -0.00987600     -0.08405722
   96     -0.03765058     -0.06507500
   97     -0.03447811     -0.02942324
   98     -0.01239460     -0.08102331
   99     -0.03501982     -0.02959967
  100     -0.03488778     -0.03178017
  101     -0.00179582     -0.02780203
  102     -0.01782222     -0.02505018
  103     -0.01270126     -0.01903921
  104      0.00392722     -0.00693917
  105      0.01441427     -0.01706167
  106     -0.03292782     -0.02035936
  107     -0.00471444     -0.04223198
  108     -0.03413164     -0.01984807
  109      0.00954500     -0.02263568
  110     -0.00691256     -0.02823384
  111     -0.01576034     -0.02274706
  112     -0.03290433     -0.05380370
  113     -0.03353606     -0.02466710
  114     -0.03753537     -0.03368565
  115     -0.00323280     -0.02626085
  116     -0.01584548     -0.02668666
  117     -0.00941592     -0.05435117
  118     -0.01828781     -0.01926679
  119     -0.01066501     -0.04100382
  120     -0.03650035     -0.02334479
  121     -0.03642188     -0.03542429
  122     -0.03475394     -0.02432322
  123      0.01083525     -0.03629336
  124     -0.02898392     -0.02350819
  125     -0.03851677     -0.03259477
  126     -0.03505335     -0.01277454
  127     -0.00982997     -0.04733188
  128     -0.03707573     -0.02072551
  129     -0.03513749     -0.04861899
  130     -0.02182890     -0.02777636
  131     -0.02315600     -0.01485149
  132     -0.00799879     -0.01830077
  133     -0.03746894     -0.02954141
  134     -0.01813263     -0.03404304
  135     -0.00715916     -0.02676480
  136     -0.03726698     -0.00650449
  137     -0.03867963     -0.03287381
  138     -0.03584512     -0.01650691
  139     -0.02938438     -0.02028109
  140     -0.03777842     -0.03719726
  141     -0.00260772     -0.02171131
  142     -0.03703752     -0.01330746
  143     -0.01311173     -0.03409647
  144     -0.03610692     -0.03279440
  145     -0.01662407     -0.02756602
  146      0.00257471     -0.03132604
  147     -0.03749412     -0.08481468
  148     -0.03591731     -0.04141409
  149     -0.03257858     -0.02605802
  150     -0.00786825     -0.03669100
  151     -0.02202459     -0.02307639
  152     -0.01432368     -0.02369967
  153     -0.02611292     -0.02265391
  154     -0.01255978     -0.01117883
  155     -0.00266378     -0.01608895
  156     -0.01702148     -0.02115636
  157     -0.01537812     -0.01456072
  158     -0.03037041     -0.01830325
  159     -0.01533790     -0.00550557
  160     -0.03415618     -0.05535387
  161     -0.01855732     -0.02705163
  162     -0.03528823     -0.02405880
  163     -0.00294397     -0.03059273
  164     -0.03767665     -0.02553310
  165     -0.02776593     -0.02386941
  166     -0.03736798     -0.02300758
  167     -0.00944291     -0.01268001
